CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,KMeans_Cluster,Churned,ChurnProb,ChurnRisk
10001,25,26,4301.01,3,4,4,11,Loyal Customers,0,0,2.054780142953053e-06,Low
10002,21,19,3700.7,3,1,3,7,Potential Loyalists,3,0,2.054780142953053e-06,Low
10003,22,26,4015.03,3,4,3,10,Loyal Customers,0,0,2.054780142953053e-06,Low
10004,39,24,3093.95,2,3,2,7,At-Risk,3,0,2.054780142953053e-06,Low
10005,9,34,4199.71,4,5,4,13,Champions,5,0,2.054780142953053e-06,Low
10006,28,30,4862.99,3,5,5,13,Loyal Customers,5,0,2.054780142953053e-06,Low
10007,9,19,2873.07,4,1,1,6,New Customers,3,0,2.054780142953053e-06,Low
10008,28,33,5798.78,3,5,5,13,Loyal Customers,5,0,2.054780142953053e-06,Low
10009,15,20,3759.9,4,1,3,8,New Customers,3,0,2.054780142953053e-06,Low
10010,32,27,3816.95,2,4,3,9,At-Risk,0,0,2.054780142953053e-06,Low
10011,19,27,3733.3,3,4,3,10,Loyal Customers,0,0,2.054780142953053e-06,Low
10012,14,24,3233.28,4,3,2,9,Loyal Customers,3,0,2.054780142953053e-06,Low
10013,9,22,4367.57,4,2,4,10,New Customers,3,0,2.054780142953053e-06,Low
10014,1,27,5410.43,5,4,5,14,Champions,0,0,2.054780142953053e-06,Low
10015,13,28,4911.71,4,4,5,13,Champions,0,0,2.054780142953053e-06,Low
10016,21,22,3237.35,3,2,2,7,Potential Loyalists,3,0,2.054780142953053e-06,Low
10017,14,17,2580.69,4,1,1,6,New Customers,2,0,2.054780142953053e-06,Low
10018,45,17,3051.01,2,1,2,5,Hibernating,2,0,2.054780142953053e-06,Low
10019,20,25,4227.599999999999,3,3,4,10,Loyal Customers,0,0,2.054780142953053e-06,Low
10020,3,20,3031.04,5,1,2,8,New Customers,3,0,2.054780142953053e-06,Low
10021,63,17,2117.17,1,1,1,3,Hibernating,2,0,2.054780142953053e-06,Low
10022,8,20,2098.39,5,1,1,7,New Customers,2,0,2.054780142953053e-06,Low
10023,13,35,5788.81,4,5,5,14,Champions,5,0,2.054780142953053e-06,Low
10024,33,28,5318.88,2,4,5,11,At-Risk,5,0,2.054780142953053e-06,Low
10025,3,27,3645.0,5,4,3,12,Champions,0,0,2.054780142953053e-06,Low
10026,3,26,5123.86,5,4,5,14,Champions,0,0,2.054780142953053e-06,Low
10027,13,27,4571.67,4,4,4,12,Champions,0,0,2.054780142953053e-06,Low
10028,52,25,4300.9,1,3,4,8,At-Risk,1,0,2.054780142953053e-06,Low
10029,47,30,4954.32,2,5,5,12,At-Risk,5,0,2.054780142953053e-06,Low
10030,12,16,3035.66,4,1,2,7,New Customers,2,0,2.054780142953053e-06,Low
10031,69,27,3708.76,1,4,3,8,At-Risk,1,0,2.054780142953053e-06,Low
10032,46,22,3824.33,2,2,3,7,Hibernating,1,0,2.054780142953053e-06,Low
10033,5,29,4430.97,5,5,4,14,Champions,0,0,2.054780142953053e-06,Low
10034,42,38,6346.34,2,5,5,12,At-Risk,5,0,2.054780142953053e-06,Low
10035,98,18,3254.96,1,1,2,4,Hibernating,4,1,0.999960475843155,High
10036,59,20,3214.05,1,1,2,4,Hibernating,2,0,2.054780142953053e-06,Low
10037,26,18,2997.65,3,1,2,6,Potential Loyalists,2,0,2.054780142953053e-06,Low
10038,3,20,3088.29,5,1,2,8,New Customers,3,0,2.054780142953053e-06,Low
10039,43,23,3072.31,2,2,2,6,Hibernating,3,0,2.054780142953053e-06,Low
10040,48,23,4306.09,2,2,4,8,Hibernating,1,0,2.054780142953053e-06,Low
10041,13,25,3303.73,4,3,2,9,Loyal Customers,3,0,2.054780142953053e-06,Low
10042,65,22,3578.79,1,2,3,6,Hibernating,1,0,2.054780142953053e-06,Low
10043,2,26,3916.8,5,4,3,12,Champions,0,0,2.054780142953053e-06,Low
10044,49,20,2762.02,2,1,1,4,Hibernating,2,0,2.054780142953053e-06,Low
10045,25,27,4233.99,3,4,4,11,Loyal Customers,0,0,2.054780142953053e-06,Low
10046,47,17,3264.12,2,1,2,5,Hibernating,2,0,2.054780142953053e-06,Low
10047,2,24,4365.32,5,3,4,12,Loyal Customers,0,0,2.054780142953053e-06,Low
10048,29,32,4967.55,3,5,5,13,Loyal Customers,5,0,2.054780142953053e-06,Low
10049,10,33,4581.02,4,5,4,13,Champions,5,0,2.054780142953053e-06,Low
10050,42,27,3471.17,2,4,2,8,At-Risk,1,0,2.054780142953053e-06,Low
10051,7,27,3610.19,5,4,3,12,Champions,0,0,2.054780142953053e-06,Low
10052,14,25,3268.21,4,3,2,9,Loyal Customers,3,0,2.054780142953053e-06,Low
10053,64,19,2825.73,1,1,1,3,Hibernating,2,0,2.054780142953053e-06,Low
10054,4,28,3193.0,5,4,2,11,Champions,0,0,2.054780142953053e-06,Low
10055,23,22,2766.08,3,2,1,6,Potential Loyalists,3,0,2.054780142953053e-06,Low
10056,99,23,3727.9,1,2,3,6,Hibernating,4,1,0.999960475843155,High
10057,10,29,5573.35,4,5,5,14,Champions,5,0,2.054780142953053e-06,Low
10058,32,21,3575.84,2,2,3,7,Hibernating,3,0,2.054780142953053e-06,Low
10059,55,13,2869.43,1,1,1,3,Hibernating,2,0,2.054780142953053e-06,Low
10060,26,17,3884.08,3,1,3,7,Potential Loyalists,3,0,2.054780142953053e-06,Low
10061,12,31,5365.08,4,5,5,14,Champions,5,0,2.054780142953053e-06,Low
10062,44,18,3091.35,2,1,2,5,Hibernating,2,0,2.054780142953053e-06,Low
10063,15,27,2861.86,4,4,1,9,Champions,3,0,2.054780142953053e-06,Low
10064,22,25,3300.63,3,3,2,8,Loyal Customers,3,0,2.054780142953053e-06,Low
10065,47,22,4143.28,2,2,4,8,Hibernating,1,0,2.054780142953053e-06,Low
10066,55,27,4984.98,1,4,5,10,At-Risk,1,0,2.054780142953053e-06,Low
10067,83,25,4238.32,1,3,4,8,At-Risk,1,0,2.054780142953053e-06,Low
10068,43,15,1967.82,2,1,1,4,Hibernating,2,0,2.054780142953053e-06,Low
10069,18,26,4780.81,3,4,4,11,Loyal Customers,0,0,2.054780142953053e-06,Low
10070,19,23,3957.65,3,2,3,8,Potential Loyalists,3,0,2.054780142953053e-06,Low
10071,29,23,3129.7,3,2,2,7,Potential Loyalists,3,0,2.054780142953053e-06,Low
10072,29,22,2654.11,3,2,1,6,Potential Loyalists,3,0,2.054780142953053e-06,Low
10073,33,18,3678.87,2,1,3,6,Hibernating,2,0,2.054780142953053e-06,Low
10074,66,30,3826.03,1,5,3,9,At-Risk,1,0,2.054780142953053e-06,Low
10075,80,17,1482.69,1,1,1,3,Hibernating,2,0,2.054780142953053e-06,Low
10076,55,21,2795.04,1,2,1,4,Hibernating,2,0,2.054780142953053e-06,Low
10077,64,32,5533.18,1,5,5,11,At-Risk,5,0,2.054780142953053e-06,Low
10078,22,23,4425.52,3,2,4,9,Potential Loyalists,0,0,2.054780142953053e-06,Low
10079,13,21,4619.75,4,2,4,10,New Customers,3,0,2.054780142953053e-06,Low
10080,5,22,4487.21,5,2,4,11,New Customers,0,0,2.054780142953053e-06,Low
10081,1,15,1778.25,5,1,1,7,New Customers,2,0,2.054780142953053e-06,Low
10082,23,28,5928.73,3,4,5,12,Loyal Customers,5,0,2.054780142953053e-06,Low
10083,3,25,2876.01,5,3,1,9,Loyal Customers,3,0,2.054780142953053e-06,Low
