CustomerID,TotalOrders,TotalItems,TotalRevenue,AvgOrderValue,UniqueProducts,FavCategory,FirstPurchase,LastPurchase,CustomerLifeDays,AvgDaysBetweenOrders
10001,26,128,4301.01,165.42346153846154,26,Stationery,2022-01-30,2023-12-07,676,26.0
10002,19,81,3700.7,194.7736842105263,16,Electronics,2022-01-03,2023-12-11,707,37.21052631578947
10003,26,124,4015.03,154.42423076923077,26,Beauty,2022-01-11,2023-12-10,698,26.846153846153847
10004,24,109,3093.95,128.91458333333333,23,Home Decor,2022-01-05,2023-11-23,687,28.625
10005,34,163,4199.71,123.52088235294117,33,Home Decor,2022-01-14,2023-12-23,708,20.823529411764707
10006,30,145,4862.99,162.09966666666665,28,Clothing,2022-01-25,2023-12-04,678,22.6
10007,19,94,2873.0699999999997,151.21421052631578,17,Stationery,2022-01-29,2023-12-23,693,36.473684210526315
10008,33,143,5798.78,175.72060606060606,33,Beauty,2022-02-01,2023-12-04,671,20.333333333333332
10009,20,91,3759.8999999999996,187.99499999999998,20,Clothing,2022-01-08,2023-12-17,708,35.4
10010,27,107,3816.95,141.3685185185185,25,Stationery,2022-01-27,2023-11-30,672,24.88888888888889
10011,27,118,3733.3,138.2703703703704,24,Stationery,2022-01-14,2023-12-13,698,25.85185185185185
10012,24,101,3233.2799999999997,134.72,23,Kitchen,2022-01-21,2023-12-18,696,29.0
10013,22,90,4367.57,198.52590909090907,20,Beauty,2022-01-14,2023-12-23,708,32.18181818181818
10014,27,130,5410.43,200.3862962962963,26,Toys & Games,2022-01-09,2023-12-31,721,26.703703703703702
10015,28,139,4911.71,175.4182142857143,28,Electronics,2022-01-03,2023-12-19,715,25.535714285714285
10016,22,101,3237.35,147.15227272727273,21,Home Decor,2022-03-30,2023-12-11,621,28.227272727272727
10017,17,88,2580.69,151.80529411764707,16,Stationery,2022-05-27,2023-12-18,570,33.529411764705884
10018,17,76,3051.01,179.47117647058826,17,Stationery,2022-01-04,2023-11-17,682,40.11764705882353
10019,25,128,4227.599999999999,169.10399999999998,22,Stationery,2022-03-01,2023-12-12,651,26.04
10020,20,87,3031.04,151.552,19,Home Decor,2022-01-29,2023-12-29,699,34.95
10021,17,61,2117.17,124.53941176470589,16,Beauty,2022-02-20,2023-10-30,617,36.294117647058826
10022,20,76,2098.39,104.9195,20,Stationery,2022-01-08,2023-12-24,715,35.75
10023,35,172,5788.81,165.39457142857145,34,Beauty,2022-01-02,2023-12-19,716,20.457142857142856
10024,28,131,5318.88,189.96,24,Kitchen,2022-01-22,2023-11-29,676,24.142857142857142
10025,27,113,3645.0,135.0,25,Toys & Games,2022-03-23,2023-12-29,646,23.925925925925927
10026,26,125,5123.86,197.07153846153844,25,Kitchen,2022-01-25,2023-12-29,703,27.03846153846154
10027,27,120,4571.67,169.32111111111112,25,Stationery,2022-03-30,2023-12-19,629,23.296296296296298
10028,25,113,4300.9,172.03599999999997,24,Beauty,2022-01-22,2023-11-10,657,26.28
10029,30,132,4954.32,165.14399999999998,28,Toys & Games,2022-03-05,2023-11-15,620,20.666666666666668
