CustomerID,Country,Segment
10001,United Kingdom,Loyal
10002,Germany,Potential
10003,United Kingdom,Champions
10004,United Kingdom,Potential
10005,France,At-Risk
10006,United Kingdom,Loyal
10007,Spain,Loyal
10008,Switzerland,Loyal
10009,United Kingdom,Loyal
10010,USA,Hibernating
10011,Australia,Champions
10012,United Kingdom,Potential
10013,Germany,Potential
10014,Spain,New
10015,United Kingdom,Loyal
10016,France,Champions
10017,Japan,Champions
10018,Belgium,Loyal
10019,United Kingdom,Potential
10020,Germany,Champions
10021,Germany,Champions
10022,United Kingdom,New
10023,Spain,Hibernating
10024,France,New
10025,France,Potential
10026,Japan,New
10027,Switzerland,Hibernating
10028,United Kingdom,Loyal
10029,Netherlands,New
10030,United Kingdom,Loyal
10031,Switzerland,At-Risk
10032,Belgium,Hibernating
10033,United Kingdom,Loyal
10034,United Kingdom,Champions
10035,Netherlands,Loyal
10036,United Kingdom,At-Risk
10037,Japan,Champions
10038,United Kingdom,Loyal
10039,United Kingdom,Loyal
10040,Spain,Champions
10041,United Kingdom,At-Risk
10042,Germany,New
10043,United Kingdom,New
10044,United Kingdom,Hibernating
10045,USA,Champions
10046,Australia,Hibernating
10047,United Kingdom,Champions
10048,USA,At-Risk
10049,Netherlands,New
10050,Germany,Potential
10051,Germany,Hibernating
10052,Japan,New
10053,United Kingdom,New
10054,United Kingdom,New
10055,United Kingdom,Potential
10056,Belgium,Potential
10057,United Kingdom,New
10058,Japan,Hibernating
10059,Germany,New
10060,France,Potential
10061,United Kingdom,Potential
10062,United Kingdom,New
10063,United Kingdom,At-Risk
10064,United Kingdom,Loyal
10065,United Kingdom,At-Risk
10066,Belgium,New
10067,United Kingdom,New
10068,United Kingdom,Champions
10069,United Kingdom,Potential
10070,Germany,At-Risk
10071,United Kingdom,Champions
10072,Belgium,Potential
10073,United Kingdom,Champions
10074,USA,Loyal
10075,Switzerland,Hibernating
10076,United Kingdom,Loyal
10077,United Kingdom,Champions
10078,Germany,Loyal
10079,United Kingdom,At-Risk
10080,Belgium,Loyal
10081,France,Potential
10082,Netherlands,Loyal
10083,USA,Champions
10084,Germany,At-Risk
10085,Germany,New
10086,United Kingdom,Potential
10087,United Kingdom,Hibernating
10088,Spain,Potential
10089,United Kingdom,Potential
10090,Belgium,Potential
10091,France,Champions
10092,Belgium,Hibernating
10093,Belgium,At-Risk
10094,Germany,Potential
10095,United Kingdom,Hibernating
10096,France,Champions
10097,Australia,New
10098,United Kingdom,At-Risk
10099,France,New
10100,Spain,New
10101,United Kingdom,Hibernating
10102,USA,At-Risk
10103,France,Hibernating
10104,Belgium,New
10105,United Kingdom,Potential
10106,France,At-Risk
10107,Australia,Champions
10108,United Kingdom,New
10109,United Kingdom,New
10110,Germany,Potential
10111,United Kingdom,Champions
10112,United Kingdom,At-Risk
10113,United Kingdom,Loyal
10114,United Kingdom,At-Risk
10115,United Kingdom,Hibernating
10116,Spain,At-Risk
10117,Germany,Hibernating
10118,USA,Champions
10119,United Kingdom,New
10120,United Kingdom,Loyal
10121,Spain,Potential
10122,Netherlands,New
10123,Belgium,Champions
10124,United Kingdom,New
10125,Spain,At-Risk
10126,Spain,At-Risk
10127,United Kingdom,Hibernating
10128,United Kingdom,Potential
10129,Germany,At-Risk
10130,Spain,At-Risk
10131,United Kingdom,Loyal
10132,United Kingdom,Loyal
10133,United Kingdom,Potential
10134,Germany,Potential
10135,United Kingdom,Loyal
10136,Netherlands,At-Risk
10137,Netherlands,Hibernating
10138,France,Champions
10139,Switzerland,At-Risk
10140,United Kingdom,Loyal
10141,United Kingdom,Potential
10142,Germany,At-Risk
10143,United Kingdom,Champions
10144,Germany,Potential
10145,USA,Potential
10146,Australia,New
10147,United Kingdom,Champions
10148,Germany,New
10149,United Kingdom,At-Risk
10150,United Kingdom,Champions
10151,United Kingdom,New
10152,United Kingdom,Champions
10153,United Kingdom,Champions
10154,Germany,Potential
10155,United Kingdom,Loyal
10156,Switzerland,At-Risk
10157,United Kingdom,Loyal
10158,United Kingdom,New
10159,France,Hibernating
10160,United Kingdom,Hibernating
10161,United Kingdom,New
10162,United Kingdom,Hibernating
10163,USA,At-Risk
10164,Germany,Champions
10165,France,Potential
10166,United Kingdom,Loyal
10167,France,At-Risk
10168,Spain,Loyal
10169,United Kingdom,Hibernating
10170,United Kingdom,Champions
10171,United Kingdom,Potential
10172,France,At-Risk
10173,United Kingdom,At-Risk
10174,Spain,Potential
10175,Australia,Champions
10176,Spain,At-Risk
10177,Belgium,Potential
10178,France,Loyal
10179,United Kingdom,Hibernating
10180,United Kingdom,Loyal
10181,Japan,Loyal
10182,United Kingdom,Loyal
10183,Belgium,Hibernating
10184,Netherlands,Hibernating
10185,Japan,New
10186,United Kingdom,Potential
10187,United Kingdom,New
10188,USA,Hibernating
10189,Germany,New
10190,United Kingdom,Champions
10191,Japan,Potential
10192,United Kingdom,At-Risk
10193,United Kingdom,Loyal
10194,USA,Hibernating
10195,France,Champions
10196,USA,Potential
10197,Switzerland,Hibernating
10198,United Kingdom,Loyal
10199,United Kingdom,Potential
10200,United Kingdom,At-Risk
10201,United Kingdom,Hibernating
10202,United Kingdom,New
10203,USA,New
10204,United Kingdom,At-Risk
10205,United Kingdom,Champions
10206,Australia,At-Risk
10207,United Kingdom,New
10208,United Kingdom,New
10209,Switzerland,Hibernating
10210,United Kingdom,Champions
10211,United Kingdom,At-Risk
10212,United Kingdom,New
10213,Australia,Champions
10214,France,Hibernating
10215,United Kingdom,Champions
10216,United Kingdom,At-Risk
10217,France,New
10218,France,Champions
10219,United Kingdom,Hibernating
10220,United Kingdom,At-Risk
10221,United Kingdom,Potential
10222,United Kingdom,Champions
10223,USA,Hibernating
10224,Belgium,Potential
10225,United Kingdom,Hibernating
10226,United Kingdom,New
10227,United Kingdom,Champions
10228,United Kingdom,Champions
10229,France,Loyal
10230,United Kingdom,Potential
10231,United Kingdom,Potential
10232,United Kingdom,New
10233,USA,Loyal
10234,United Kingdom,Loyal
10235,United Kingdom,Hibernating
10236,Germany,Loyal
10237,Australia,At-Risk
10238,Belgium,New
10239,United Kingdom,Hibernating
10240,United Kingdom,Champions
10241,United Kingdom,At-Risk
10242,Switzerland,Hibernating
10243,USA,New
10244,Australia,New
10245,Germany,At-Risk
10246,United Kingdom,Hibernating
10247,United Kingdom,At-Risk
10248,Australia,Potential
10249,United Kingdom,New
10250,United Kingdom,New
10251,United Kingdom,Potential
10252,United Kingdom,New
10253,United Kingdom,Potential
10254,Belgium,Potential
10255,USA,New
10256,USA,Loyal
10257,Germany,Hibernating
10258,United Kingdom,Champions
10259,Australia,New
