ds,yhat,lstm_yhat,ensemble_yhat,yhat_lower,yhat_upper
2023-12-02,26200.836669436147,26200.836669436147,26200.836669436147,22270.711169020724,30130.962169851566
2023-12-03,27208.98232398605,27208.98232398605,27208.98232398605,23127.63497538814,31290.329672583954
2023-12-04,26311.665831258473,26311.665831258473,26311.665831258473,22364.9159565697,30258.41570594724
2023-12-05,26120.111062515312,26120.111062515312,26120.111062515312,22202.094403138013,30038.127721892608
2023-12-06,26484.595643315326,26484.595643315326,26484.595643315326,22511.906296818026,30457.284989812622
2023-12-07,26195.0797483186,26195.0797483186,26195.0797483186,22265.81778607081,30124.341710566387
2023-12-08,26346.276951544765,26346.276951544765,26346.276951544765,22394.33540881305,30298.218494276476
2023-12-09,25672.641302318574,25672.641302318574,25672.641302318574,21821.745106970786,29523.53749766636
2023-12-10,25853.923605271644,25853.923605271644,25853.923605271644,21975.835064480896,29732.01214606239
2023-12-11,25205.33711381863,25205.33711381863,25205.33711381863,21424.536546745836,28986.13768089142
2023-12-12,25477.938370533706,25477.938370533706,25477.938370533706,21656.24761495365,29299.62912611376
2023-12-13,25353.75345505688,25353.75345505688,25353.75345505688,21550.690436798348,29156.81647331541
2023-12-14,25237.804104690284,25237.804104690284,25237.804104690284,21452.13348898674,29023.474720393824
2023-12-15,25187.104264942784,25187.104264942784,25187.104264942784,21409.038625201367,28965.1699046842
2023-12-16,25013.178794587307,25013.178794587307,25013.178794587307,21261.20197539921,28765.1556137754
2023-12-17,24916.643021577645,24916.643021577645,24916.643021577645,21179.146568341,28654.13947481429
2023-12-18,24861.638207878455,24861.638207878455,24861.638207878455,21132.392476696685,28590.883939060222
2023-12-19,24720.05715086458,24720.05715086458,24720.05715086458,21012.04857823489,28428.065723494266
2023-12-20,24644.612930183026,24644.612930183026,24644.612930183026,20947.92099065557,28341.30486971048
2023-12-21,24528.53814512883,24528.53814512883,24528.53814512883,20849.257423359504,28207.818866898153
2023-12-22,24465.75730470774,24465.75730470774,24465.75730470774,20795.89370900158,28135.6209004139
2023-12-23,24368.5748719289,24368.5748719289,24368.5748719289,20713.288641139567,28023.861102718234
2023-12-24,24304.582398002334,24304.582398002334,24304.582398002334,20658.895038301984,27950.26975770268
2023-12-25,24219.43261595089,24219.43261595089,24219.43261595089,20586.517723558256,27852.34750834352
2023-12-26,24136.161450251955,24136.161450251955,24136.161450251955,20515.73723271416,27756.585667789746
2023-12-27,24064.82743623102,24064.82743623102,24064.82743623102,20455.103320796366,27674.55155166567
2023-12-28,23988.14614507147,23988.14614507147,23988.14614507147,20389.92422331075,27586.36806683219
2023-12-29,23917.18326468941,23917.18326468941,23917.18326468941,20329.605774985997,27504.76075439282
2023-12-30,23850.75103282634,23850.75103282634,23850.75103282634,20273.13837790239,27428.36368775029
2023-12-31,23779.70238166454,23779.70238166454,23779.70238166454,20212.74702441486,27346.657738914222
