CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,KMeans_Cluster,Churned
10001,25,26,4301.01,3,4,4,11,Loyal Customers,0,0
10002,21,19,3700.7,3,1,3,7,Potential Loyalists,3,0
10003,22,26,4015.03,3,4,3,10,Loyal Customers,0,0
10004,39,24,3093.95,2,3,2,7,At-Risk,3,0
10005,9,34,4199.71,4,5,4,13,Champions,5,0
10006,28,30,4862.99,3,5,5,13,Loyal Customers,5,0
10007,9,19,2873.0699999999997,4,1,1,6,New Customers,3,0
10008,28,33,5798.78,3,5,5,13,Loyal Customers,5,0
10009,15,20,3759.8999999999996,4,1,3,8,New Customers,3,0
10010,32,27,3816.95,2,4,3,9,At-Risk,0,0
10011,19,27,3733.3,3,4,3,10,Loyal Customers,0,0
10012,14,24,3233.2799999999997,4,3,2,9,Loyal Customers,3,0
10013,9,22,4367.57,4,2,4,10,New Customers,3,0
10014,1,27,5410.43,5,4,5,14,Champions,0,0
10015,13,28,4911.71,4,4,5,13,Champions,0,0
10016,21,22,3237.35,3,2,2,7,Potential Loyalists,3,0
10017,14,17,2580.69,4,1,1,6,New Customers,2,0
10018,45,17,3051.01,2,1,2,5,Hibernating,2,0
10019,20,25,4227.599999999999,3,3,4,10,Loyal Customers,0,0
10020,3,20,3031.04,5,1,2,8,New Customers,3,0
10021,63,17,2117.17,1,1,1,3,Hibernating,2,0
10022,8,20,2098.39,5,1,1,7,New Customers,2,0
10023,13,35,5788.81,4,5,5,14,Champions,5,0
10024,33,28,5318.88,2,4,5,11,At-Risk,5,0
10025,3,27,3645.0,5,4,3,12,Champions,0,0
10026,3,26,5123.86,5,4,5,14,Champions,0,0
10027,13,27,4571.67,4,4,4,12,Champions,0,0
10028,52,25,4300.9,1,3,4,8,At-Risk,1,0
10029,47,30,4954.32,2,5,5,12,At-Risk,5,0
10030,12,16,3035.66,4,1,2,7,New Customers,2,0
10031,69,27,3708.76,1,4,3,8,At-Risk,1,0
10032,46,22,3824.33,2,2,3,7,Hibernating,1,0
10033,5,29,4430.97,5,5,4,14,Champions,0,0
10034,42,38,6346.34,2,5,5,12,At-Risk,5,0
10035,98,18,3254.96,1,1,2,4,Hibernating,4,1
10036,59,20,3214.0499999999997,1,1,2,4,Hibernating,2,0
10037,26,18,2997.6499999999996,3,1,2,6,Potential Loyalists,2,0
10038,3,20,3088.29,5,1,2,8,New Customers,3,0
10039,43,23,3072.31,2,2,2,6,Hibernating,3,0
10040,48,23,4306.09,2,2,4,8,Hibernating,1,0
10041,13,25,3303.73,4,3,2,9,Loyal Customers,3,0
10042,65,22,3578.79,1,2,3,6,Hibernating,1,0
